ActualFlightTime	ActualTotalFuel	ActualTOW	FlownPassengers	BagsCount	FlightBagsWeight
225	9870	71598.0	180.0	80.0	
178	8064	69022.0	183.0		49.0
152	6280	67644.0	174.0		
72	3500	65648.0	174.0		
138	6040	67952.0	176.0	96.0	
35	1470	45531.0			
109	4760	64959.0	175.0		
94	4263	66084.0			
61	2636	61839.0	161.0		
59	2560	63471.0	182.0		
176	7175	68442.0	176.0		
86	3630	64433.0	181.0		
32	1660	59753.0	149.0		
132	5791	67263.0	186.0		
62	2460	62746.0	174.0		
60	2766	63290.0	166.0		
150	6580	66882.0	172.0		
39	1700	60061.0	142.0		
349	14907	74283.0	187.0		
144	5900	64977.0	167.0		
94	4439	65757.0	172.0		
119	5450	67281.0	176.0		
43	1780	59843.0	149.0		
143	6209	65993.0	163.0		
62	2990	64251.0	172.0		
64	2750	63399.0	180.0		
13	700	47944.0			
150	6508	67553.0	176.0	80.0	
206	9165	71018.0	179.0		
62	2700	64397.0	180.0		
130	4640	57376.0	92.0		
143	6250	66900.0	164.0		
114	4940	64832.0	167.0		
128	5060	65140.0	171.0		
81	3569	63943.0	183.0		
195	7890	68551.0	187.0		
167	7269	68823.0	188.0		
100	4310	64306.0	169.0		
69	3189	64233.0	181.0		
129	5830	68750.0	189.0		
141	5890	67136.0	174.0		
149	6400	68405.0	187.0		
139	5728	64868.0	158.0		
78	3430	63580.0	160.0		
120	4939	64596.0	158.0		
101	4640	66410.0	170.0		
81	3570	64705.0	169.0		
77	3520	63798.0	174.0		
154	6376	66464.0	170.0		33.0
120	5170	66211.0	184.0		
125	2950				
54	1964	47309.0			
71	3080		140.0	9.0	117.0
19	1045	48343.0			
51	2499	63780.0	174.0		
118	4660	64723.0	170.0		
67	2970	63762.0	178.0		
161	6270	66319.0	173.0		
50	2330	64777.0	173.0		
130	5580	66845.0	180.0		
225	9850	72560.0	182.0		
113	5010	69131.0	181.0	80.0	
49	2260	62782.0	167.0		
71	2989	63635.0	171.0		
158	6444	66827.0	167.0		
172	6463	63072.0	121.0		
89	3600	63526.0	169.0		
74	3490		168.0	73.0	950.0
80	3630		164.0	46.0	590.0
126	5470		178.0		
58	5796	59644.0			
14	700	47472.0			
102	4500		169.0	45.0	590.0
155	6740				
41	1730		177.0	53.0	689.0
78	3580	66319.0	186.0		
67	2870	62583.0	174.0		
63	2503	47544.0			
71	2450	47998.0			
52	2180	62456.0	170.0		
107	4722	64143.0	160.0		
182	7910	70383.0	186.0	116.0	
161	6260	64868.0	153.0		
121	5000		175.0		
136	5750	66972.0	187.0		
115	5100	64977.0	174.0		
219	9297	70782.0	183.0		1677.0
53	2160	61730.0	172.0		
109	4680	65757.0	175.0		
162	7410		186.0	140.0	1820.0
171	7633	69766.0	180.0		
62	3260	62782.0	150.0		
161	7508	69784.0	188.0		
106	4310		111.0	31.0	400.0
84	3590	64070.0	165.0		
26	1360		169.0	21.0	270.0
147	6370	67063.0	178.0		
62	2810	62782.0	172.0		
57	2470	61694.0	165.0		
38	1730	58410.0	134.0		
124	5550	66918.0	184.0		
239	10440	72705.0	183.0		
167	7482	69421.0	177.0		
89	4250	65031.0	158.0		
57	2600	62437.0	169.0		
36	1630	58719.0	146.0		
159	6667	68424.0	185.0		
161	7089	69149.0	181.0		
50	2240		166.0	16.0	210.0
164	7097	68260.0	176.0		
80	3770	66392.0	175.0		
180	8100	67970.0	164.0		
172	7676	69476.0	176.0		
93	4158	65249.0	183.0		
60	2750	63743.0	161.0		
75	3330	62746.0	170.0		
71	3353	66374.0	181.0		
122	4964		160.0		
76	3650	67517.0	183.0		
120	5265	65304.0	174.0		
88	3900	65594.0	183.0		
66	2820		177.0	37.0	480.0
61	2930	62873.0	171.0		
77	3410	64288.0	174.0	44.0	
113	5102	65031.0	156.0		
233	10181	72197.0	188.0		
88	3660	63054.0	159.0		
155	6380	67861.0	180.0		
106	4520	64759.0	171.0		
81	3533	64832.0	185.0		
107	4740	64904.0	171.0		
164	7120	68714.0	178.0		
114	4940		179.0	83.0	1080.0
100	4643	65449.0	181.0		
38	2200		168.0	27.0	350.0
138	5959	66773.0	177.0		
151	6220	68823.0	184.0	109.0	
75	3230		167.0	42.0	550.0
97	4317	65195.0	169.0		
58	2710	62945.0	171.0		
64	2911	62038.0	168.0		
45	2300	63616.0	152.0		
62	2610	63453.0	172.0		
160	6420		171.0	53.0	690.0
156	6779	67843.0	184.0		
160	7120	69022.0	181.0	90.0	
127	5550	66174.0	173.0		
107	4790	65158.0	171.0	77.0	
193	8009	68968.0	177.0		
79	3520	61567.0	140.0		
129	5980	67843.0	176.0		
120	5310	66065.0	180.0	90.0	
111	4812	66156.0	178.0	131.0	
122	5300	65684.0	170.0		
104	4498	63635.0	161.0		
58	3147	63490.0	183.0		
152	6929	68424.0	181.0		
52	2200	64124.0	163.0		
80	3300	61204.0	151.0	28.0	
50	2154	60079.0	152.0		
42	1840	48451.0			
81	3400	63199.0	157.0		
74	3360	66882.0	163.0		
143	6218	67390.0	185.0		
62	2860	62800.0	185.0		
156	6816	68043.0	175.0		
99	3890	62474.0	149.0	27.0	
110	4830		168.0	107.0	
215	9360	71598.0	181.0		
194	8430		170.0	42.0	550.0
127	5878	69712.0	188.0		
125	5524	68968.0	169.0		
120	5251	65902.0	177.0		
173	7474	68950.0	178.0		
156	6770	66936.0	177.0		
238	10916	73176.0	186.0		
149	6210	66337.0	170.0		
148	6639	68006.0	179.0		
100	4250	63671.0	153.0		
100	4540	64959.0	4.0		
93	4330	66646.0	170.0	62.0	
102	4690	63199.0	160.0		
121	5012	66519.0	185.0		
64	2330	57794.0			
34	1740	61784.0	162.0		
123	4240	49159.0			
38	1640		162.0	13.0	170.0
59	2600	62020.0	169.0		
113	4890	67208.0	177.0	74.0	
64	2530	61385.0	156.0	33.0	
55	2420	61585.0	160.0		
42	1750		152.0	29.0	377.0
38	1570		136.0	18.0	240.0
135	6118	66900.0	179.0		
56	2510	62329.0	174.0		
147	6460	67553.0	176.0		
26	6607	66755.0	178.0		21.0
169	7180	68841.0	182.0		
55	2649	62836.0	180.0		
116	4807	63834.0	153.0		
78	3330	62129.0	149.0		
234	10332	71453.0	167.0	112.0	
94	4200	65449.0	175.0		
77	3696	64578.0	163.0		
75	3300	63798.0	183.0	21.0	
85	3530	64542.0	180.0		
130	6013	67952.0	178.0		
143	6110	66991.0	186.0		
152	6200	66464.0	172.0		
25	1140				
53	2420	63508.0	161.0		
50	2480	62855.0	147.0		
114	4930	63635.0	158.0		
32	1718	61059.0	171.0		
256	11628	73285.0	184.0		
63	2690	61313.0	159.0		
60	2790	63163.0	177.0		
62	2984	62728.0	172.0		
112	4850	68188.0	150.0		
104	4650	65993.0	177.0		
155	6780	67118.0	181.0	77.0	
97	3740	61113.0	142.0		
46	2280	61766.0	163.0		
68	2894	61585.0	156.0		
53	2540	59481.0	128.0		
245	10710	71761.0	175.0	120.0	
108	4789	65322.0	175.0		
65	2890	63725.0	171.0		
66	3193	64143.0	182.0		
51	2789	61984.0	160.0		
152	7011	70437.0	188.0	90.0	
29	1440	59934.0	162.0	47.0	
61	2770	61929.0	183.0		
40	1936	62383.0	180.0	3.0	
106	4740	64415.0	180.0		
216	8970	66446.0	138.0		
132	5770	67535.0	182.0		
272	11510	73612.0	186.0		
223	9760	70346.0	178.0		
133	5791	67244.0	173.0		
68	2680	60932.0	152.0		
46	2000	61639.0	172.0	35.0	
115	5220		165.0	85.0	1110.0
188	8308	70891.0	179.0	142.0	
142	6190	66192.0	168.0		
102	4490	65158.0	170.0		
175	7310	68950.0	184.0		
72	3060	63852.0	182.0		
129	6127	67081.0	177.0	102.0	
107	4630	66991.0	155.0		
117	5250	65576.0	170.0		
120	5088	65031.0	172.0		
119	5360	66991.0	166.0	98.0	
111	4798	66211.0	179.0		
78	3300	63490.0	172.0		
107	4310	65249.0	182.0		
214	9580	72378.0	183.0		
228	9690	70129.0	170.0		
104	4350	65068.0	181.0		
111	5324	67916.0	185.0		
39	2277	63145.0	175.0		
133	5540	67208.0	177.0		
79	3530	63326.0	176.0	20.0	
185	8331	69984.0	176.0		
57	2540	61839.0	156.0		
38	2050	63707.0	153.0		
141	6277	67190.0	164.0		
63	2740	63490.0	177.0		
134	5450	64542.0	170.0		
137	5964	66483.0	174.0	81.0	
49	2600	65104.0	161.0		
93	3880	61730.0	143.0	33.0	
91	3760		145.0	11.0	140.0
138	6340	67136.0	179.0	42.0	
62	2929	59608.0	130.0		
132	6000	69185.0	175.0		
64	2770	63145.0	170.0		
134	5750	67371.0	175.0		
144	6220	66464.0	165.0		
116	4660	63090.0	153.0		
86	3810	64034.0	178.0		
111	4680	66102.0	184.0		
92	4300	65866.0	182.0	52.0	
40	1890	62855.0	155.0		
128	5440		178.0	58.0	750.0
164	6803	67662.0	169.0		
141	6080		183.0		
136	6109	67045.0	173.0		
178	7290		177.0	82.0	1060.0
154	6017		151.0		
82	3400	60914.0	133.0		
132	5660	66755.0	183.0		
92	3480	59535.0	132.0	14.0	
90	3690	63417.0	176.0		
83	3720	64215.0	174.0		
121	4820	66174.0	178.0		
127	5470	65013.0	164.0		
65	2840	62329.0	166.0		
89	4100	65648.0	180.0	64.0	
111	4691	64560.0	166.0		
205	3600				
55	2740	63435.0	176.0		
150	6260	66845.0	175.0	58.0	
44	2095	53748.0	74.0		
128	5297	62075.0	128.0	25.0	
72	2900	60515.0	152.0	28.0	
92	3770	63326.0	176.0	47.0	
148	6360	68079.0	182.0		
92	4054	64270.0	165.0		
59	2619	62111.0	182.0		
135	5830		170.0	51.0	670.0
134	5760	67988.0	188.0		
92	3340	53984.0	72.0		
144	5950		181.0	57.0	740.0
40	1601	52732.0	67.0		
173	7392	68932.0	182.0	110.0	
160	6830	68061.0	181.0	76.0	
184	7760	69294.0	179.0	89.0	
56	2850	63490.0	173.0		
103	4190	63997.0	177.0		
176	7500		152.0	32.0	420.0
138	5800	65485.0	169.0		
71	2800	59662.0	134.0		
141	5220		106.0	22.0	290.0
52	2720	66428.0	178.0		
168	7623	68950.0	178.0	77.0	
162	6890	68750.0	179.0	81.0	
98	4045	62963.0	152.0		
92	3940	64723.0	175.0		
62	2784	62038.0	166.0		
63	2971	62165.0	173.0		
133	5360	65104.0	179.0		
87	3730	64614.0	177.0		
105	4798	65158.0	177.0		
95	3790	61331.0	148.0	55.0	
75	3130	61022.0	147.0		
89	3683	64451.0	177.0		
40	1870	62329.0	175.0		
152	6540		172.0		
133	5800	66464.0	177.0		
58	2540	62709.0	175.0		
106	4421	64197.0	173.0		
149	6320		180.0	44.0	572.0
65	2846	61022.0	156.0		
69	2907	63127.0	173.0		
143	5730		168.0	72.0	940.0
161	7021	68061.0	180.0		
39	1540	44479.0			
211	7350	52950.0			
135	5840	66591.0	178.0		
59	2650		171.0	37.0	481.0
54	2540	62800.0	175.0		
64	2950	62510.0	163.0		
53	2322	61313.0	154.0		
96	4100	63145.0	161.0	43.0	
243	10993	73358.0	182.0		
119	4570	59190.0	115.0		
128	5646	69458.0	175.0	24.0	
140	5900	65539.0	171.0		
252	10880	71326.0	170.0		
94	4200	61984.0	140.0		
131	5510	66138.0	177.0		
134	6043	67771.0	184.0		
81	3290	62437.0	172.0		
102	4310	63363.0	150.0	14.0	
153	6870		186.0		820.0
99	4240	65594.0	170.0		
67	3043	63907.0	172.0		
120	5365	67045.0	186.0		
44	1850	47200.0			
245	8361	54184.0			
59	3020	64433.0	179.0		
105	4200	64777.0	173.0		
99	4330	64741.0	168.0		
60	2739	61621.0	162.0		
128	4960	64759.0	177.0		
238	10575	72306.0	182.0		1499.0
109	4514	62891.0	158.0		
28	1570	60007.0	151.0		
248	10875	70909.0	175.0		
156	7093	67644.0	176.0		
99	3910	62329.0	151.0		
237	10260	70546.0	166.0		
89	3743	63544.0	170.0	33.0	
137	5910		183.0	65.0	900.0
86	3930	65177.0	175.0	49.0	
77	3400	63381.0	173.0		
156	6620		173.0	50.0	650.0
169	7110		174.0	105.0	1370.0
90	3900	64723.0	179.0	15.0	
100	4290	65195.0	180.0		
207	8400	71471.0	188.0		
100	4420	66029.0	177.0		
135	5770	66773.0	175.0		
124	5705		180.0	73.0	950.0
114	5231	65666.0	182.0		
60	2698	61276.0	155.0		
162	7061	68714.0	181.0		
90	4060	63671.0	151.0		
43	2090	62673.0	175.0		
42	1900	60986.0	154.0		
55	1000				
57	2535	63163.0	161.0		
59	2861	64124.0	170.0		
107	4944	66954.0	181.0		
52	2380	65249.0	185.0		
102	4780	67934.0	173.0		
36	1730		171.0	54.0	702.0
44	1860	55054.0	97.0		
180	7496	68659.0	170.0		
164	6350	63834.0	146.0		
78	3540	65412.0	184.0	24.0	
58	2630	62419.0	158.0		
87	3936	64542.0	176.0		
99	4440	67172.0	151.0	45.0	
156	6476	66537.0	165.0		
127	5120	64959.0	172.0		
45	2280	63580.0	183.0		
63	2694	60043.0	138.0		
41	1970	64632.0	180.0		
198	8520		183.0	98.0	1270.0
164	7130		189.0	96.0	1250.0
139	6043	66610.0	179.0		
139	6217	67226.0	180.0		
70	3060	63762.0	176.0		
131	5450	66011.0	172.0		
138	6049	66319.0	170.0		
118	4940	65358.0	173.0		
65	2900	63417.0	169.0		
63	2820	61657.0	156.0		
102	4186	64469.0	179.0	30.0	
119	5315	65811.0	181.0		
60	2940	65086.0	181.0		
52	2500	65376.0	174.0		
61	2780		182.0	24.0	260.0
60	2750		177.0	21.0	270.0
105	4817	66374.0	182.0		
70	3160	63852.0	179.0		
40	1900	61639.0	165.0		
124	5600	67934.0	183.0		
62	2760	61730.0	155.0		
227	9900	69784.0	165.0		
143	6210	66410.0	170.0		
213	9230	71544.0	185.0		
124	5578	66682.0	181.0		
171	7705	69965.0	184.0		
98	4213	62818.0	158.0	42.0	
163	6610		166.0		
200	8712	71326.0	185.0	166.0	
75	3100	63217.0	180.0		
124	5340	65249.0	172.0		
151	6880		183.0	42.0	550.0
64	3040	65648.0	148.0		
188	8200	69675.0	176.0		
84	3810	64070.0	174.0	59.0	
129	5560	65666.0	152.0	29.0	
106	4603	62165.0	146.0		
96	3286	48615.0			
181	7955	69857.0	178.0		
64	2690	58501.0	126.0		
60	2550	58828.0	133.0		
121	5190	63326.0	138.0		
89	3540	62728.0	163.0		27.0
129	5755	66718.0	174.0		
152	6620	66845.0	158.0		
102	4322	64088.0	167.0		
153	6430	67734.0	185.0		
56	2535	64143.0	178.0		
97	4390	64977.0	176.0		
310	12660	74120.0	176.0		
59	2580	58664.0	120.0		
142	6340	67771.0	180.0		
138	5890	65285.0	159.0		
107	4510	64777.0	174.0		
219	8720				
128	5440	66573.0	180.0	78.0	
57	2550	63344.0	158.0		
109	4680	66791.0	153.0		
113	4854	64505.0	160.0	55.0	
119	4590	58229.0	94.0		
110	4350	65340.0	182.0		
135	5870	66900.0	172.0		
122	5500	66718.0	182.0		
119	4970	63453.0	150.0		
113	4793	64687.0	174.0		
62	2690	63725.0	185.0		
80	3470	64578.0	181.0		
70	3140	64560.0	185.0		
65	2771	62492.0	162.0		
145	5830	62546.0	112.0		
78	3410		176.0	56.0	730.0
47	2170	62492.0	176.0		
114	5310		180.0	72.0	940.0
134	5780	66319.0	182.0		
88	3296	55327.0	88.0		
86	3570	62329.0	162.0		
160	7011	67009.0	171.0		
136	6026	64687.0	159.0		
68	2670	56596.0	93.0		
146	6526	67353.0	181.0		
77	3016	55635.0	90.0	12.0	
78	3057	56415.0	105.0	11.0	
36	1730		60.0	2.0	35.0
58	2630	55961.0	96.0		
174	7000	64814.0	152.0		
121	4725	59045.0	106.0		
114	4950		173.0	25.0	330.0
77	3500	63798.0	177.0		
126	5501	64487.0	157.0		
151	5610	60623.0	117.0		
54	2300	60261.0	151.0		
196	8721	70274.0	186.0	130.0	
102	4600	64959.0	178.0		
81	3596	64342.0	172.0		
71	3325	63580.0	159.0		
118	5340	67045.0	180.0		
160	7000		177.0	172.0	2236.0
67	2875	59335.0	133.0		
249	11100	72523.0	180.0		
119	5310		159.0	38.0	490.0
109	4890	63598.0	129.0		
51	2200	57014.0	108.0		
107	4400	63526.0	162.0		
49	1920	57503.0	109.0		
101	3290	45712.0	4.0		
37	1660	44170.0	4.0		
77	3410	63979.0	176.0		
114	4610	64632.0	173.0	53.0	
123	5175	66900.0	181.0		
90	4230	67698.0	172.0	87.0	
139	6140	67063.0	170.0		
91	4160	67789.0	178.0		
92	3968	64360.0	178.0		
108	4807	65811.0	181.0		
97	4127	64977.0	174.0		
111	5240		159.0	27.0	350.0
61	2970	66120.0	149.0		
46	2230	61549.0	157.0		
78	3360	59535.0	126.0		
164	7148	68133.0	179.0		
93	3780	58628.0	114.0		
105	4550	65430.0	173.0	30.0	
96	3700	62183.0	153.0		
169	7809	70582.0	180.0		
54	2118	46946.0			
71	2880				
66	3030	64650.0	182.0		
33	1570		85.0	11.0	143.0
37	1900	60188.0	140.0		
58	2250	57848.0	118.0		
177	7290	69349.0	180.0	111.0	
151	6630	68478.0	184.0		
150	6720		163.0	29.0	459.0
87	3773	62510.0	153.0		
96	3823	58773.0	112.0	19.0	
112	5034	65993.0	177.0		
60	2950	64052.0	189.0		
113	4990	60805.0	95.0		440.0
156	6965	66773.0	165.0		
128	5370	63852.0	145.0		
106	4460	64088.0	167.0		
118	5426	67063.0	183.0		
94	4154	66084.0	186.0		
237	10267	71018.0	171.0		
105	4320	65412.0	183.0		
125	5330		176.0		
114	4850		172.0	32.0	420.0
112	4600	63889.0	159.0		
60	2934	60460.0	146.0		
92	3854	61113.0	139.0		
60	2834	62474.0	165.0		
54	2500	58809.0	123.0		
129	5710	65739.0	170.0		
153	6860	69585.0	182.0	83.0	
54	2470	62419.0	150.0		
45	1930	60242.0	153.0		
134	5433	65503.0	167.0		
140	6400	67136.0	184.0		
168	7564	67517.0	170.0		
46	1600	43844.0	4.0		
110	5140	66192.0	172.0		
129	5780	66936.0	168.0		
119	5296	65975.0	175.0		
122	5200	64814.0	159.0		
211	9215	70872.0	177.0		
237	10630		168.0	51.0	660.0
161	6950	68079.0	175.0		
95	4290	65884.0	182.0		
114	5016	64977.0	170.0		
61	2716	58955.0	128.0		
169	6950	67299.0	171.0		
67	2880	64088.0	185.0		
89	3860	63399.0	153.0		
97	4136	64814.0	182.0	26.0	
207	8950	69439.0	176.0		
157	7007	67281.0	168.0	76.0	
215	9524	70800.0	186.0		
187	7922	68913.0	179.0		
113	4752	62655.0	151.0		
51	2326	46692.0			
70	2890	60369.0	143.0		
90	3540	59499.0	131.0	19.0	
90	3570	60242.0	140.0		
110	4852	66138.0	185.0		
115	4617	63490.0	168.0		
102	3880	58628.0	117.0		
124	4789	59263.0	107.0		
71	2870	60079.0	143.0		
120	5260	64814.0	162.0		
56	2540	58410.0	125.0		
119	5057	64977.0	179.0		
145	6049	66211.0	171.0		
112	4530	63671.0	159.0		
54	2250	58664.0	128.0		
89	3710	61929.0	149.0	29.0	
68	2960	62220.0	162.0		
102	4544	66174.0	184.0		
82	3470	61041.0	146.0		
74	2980	61240.0	149.0		
94	4140	63308.0	166.0		
138	5730	67353.0	181.0		
117	5490		186.0		
95	3660	61004.0	143.0	27.0	
119	4934	65612.0	182.0		
86	3787	62238.0	147.0		
74	3230	61802.0	154.0		
142	5955	65557.0	173.0		
67	3280	66392.0	179.0		
185	8217	68151.0	177.0		
144	6200		184.0	169.0	2200.0
126	6190	69730.0	189.0		
165	7433	68805.0	179.0		
91	3630	62909.0	160.0		
137	6004	65412.0	163.0		
117	4970		174.0	68.0	884.0
151	6716	69040.0	179.0	72.0	
160	6740	66991.0	163.0		
15	800				
108	4630	63217.0	149.0		
38	1810		179.0	68.0	890.0
89	3470	59626.0	135.0	19.0	
96	4172	62909.0	154.0		
550	17890				
192	8081	69258.0	176.0		
72	2850	60496.0	147.0		
106	4612	65177.0	180.0		
159	6998	68823.0	179.0		
166	7360	70038.0	184.0		
73	3030	58483.0	119.0		
84	3822	62927.0	157.0		
24	1270	62963.0	164.0		
88	3650	57104.0	104.0		
120	5420	67390.0	159.0		
132	5745	65430.0	169.0		
95	3780	61440.0	154.0		
53	1960	47835.0			
44	1868	49322.0	25.0		
74	2670	54728.0	90.0		
105	4775	64614.0	163.0		
58	2544	60351.0	152.0	48.0	
102	4045	61422.0	135.0		
154	6548	69458.0	179.0		
100	4020	58138.0	103.0		
120	5215	65848.0	170.0		
91	4009	62256.0	155.0		
132	5700	65430.0	150.0		
143	5972	67045.0	178.0		
141	6318	67752.0	180.0		
48	2190	63127.0	181.0		
311	12810	74283.0	188.0		
135	5650		165.0	32.0	410.0
88	3619	62601.0	160.0		
54	2350	60333.0	153.0		
81	3279	60242.0	145.0	20.0	
78	3206	60406.0	134.0		
120	4771	61730.0	136.0		
73	3200		179.0	24.0	310.0
100	4290	64397.0	172.0		
108	4560		151.0		
139	6277	66029.0	179.0		
72	3290	63471.0	177.0		
58	2613	58029.0	20.0		
129	5480	66156.0	177.0		
96	3990	63653.0	158.0		
56	2412	63145.0			
76	3084	56923.0	103.0		
105	4213	64397.0	175.0		
72	2800	59535.0	137.0		
34	1810	62673.0	169.0		
135	5640	66501.0	186.0		
135	5000	59970.0	115.0		
93	4090	66156.0	157.0		
148	6600	68043.0	184.0		
36	1540	59118.0	142.0		
88	3400	60515.0	142.0	57.0	
103	4500	63907.0	171.0		
144	5913	65104.0	172.0		
88	3619	61676.0	148.0		
149	6620		165.0		
149	6430	67625.0	178.0		
30	1678	59372.0	152.0		
62	2850	62637.0	168.0		
134	5690		174.0	115.0	1500.0
172	7500	68460.0	181.0		
115	5170	65957.0	174.0		
205	9150	70528.0	178.0		
68	2900	63816.0	175.0		
165	7333	67263.0	168.0	64.0	
111	5050	65757.0	177.0		
74	3010	63943.0	178.0		
89	3690	64034.0	176.0		
222	9330	69984.0	176.0		
161	6762	67335.0	176.0		
48	1820	49649.0			
12	758	50247.0			
50	2350				
79	3470	62601.0	154.0		
50	2140		109.0	23.0	300.0
59	2840	60859.0	159.0		
85	3760	59988.0	111.0		
118	5576	68569.0	188.0		
140	6226	66610.0	167.0		
137	6200	68206.0	163.0		
97	3770	61168.0	121.0		
246	10734	71417.0	172.0		
106	4510	64560.0	164.0		
162	7100	68333.0	181.0		
231	10350	72523.0	183.0		
70	3165	64759.0	181.0		
50	2350	62619.0	178.0		
72	3147	61222.0	157.0	30.0	
96	4241	64904.0	169.0		
132	5900	66718.0	170.0		
237	10400	70437.0	158.0		
99	4120	64542.0	173.0		
159	6590	67444.0	189.0		
91	3700		140.0	20.0	260.0
58	2858	60642.0	148.0		
167	7290	68115.0	178.0		
137	5828	65213.0	159.0	89.0	
59	2620	63236.0	160.0		
186	7750	66737.0	161.0		
126	5610	65793.0	160.0		
169	7320	67335.0	169.0		
158	6510		170.0	64.0	830.0
112	4470	65557.0	182.0		
265	10929	67698.0	120.0		
65	2920	61149.0	124.0		
73	3390	63689.0	166.0		
109	4903	65557.0	169.0		
153	6649		171.0	43.0	560.0
171	5945	51880.0			
43	2160	63490.0	183.0		
98	4370	65920.0	174.0		
172	6150				
121	5283	63979.0	148.0	63.0	
136	5860	66882.0	174.0		
70	2800	57213.0	79.0		
58	2489	56633.0	109.0		
151	6142	64469.0	162.0		530.0
132	5379	65394.0	172.0		
96	3950	64070.0	176.0		
213	9292	70546.0	175.0		
235	10000		174.0	98.0	1270.0
60	2500	56469.0	64.0		
51	2060	62564.0	176.0		
170	6750	67498.0	173.0	111.0	
65	2799	63199.0	181.0	28.0	
83	3630	64832.0	181.0		
136	6060		178.0	86.0	1120.0
194	8271	69113.0	168.0		
199	8060	67825.0	157.0		
134	5750	66555.0	181.0		
145	6839	69639.0	184.0		
120	4863	61621.0	128.0		
113	4920	66120.0	187.0		
169	7476	69476.0	20.0		
72	2970	61004.0	161.0		
76	3380		183.0	55.0	720.0
117	4750		114.0	19.0	250.0
126	5270	66029.0	173.0		
156	6698	67172.0	179.0		
104	4750	66138.0	188.0		
52	2330	62818.0	174.0		
52	2730	61276.0	155.0		
58	2460	57286.0	113.0		
119	4550	61567.0	150.0		
195	8480	69657.0	180.0		
101	4200	61077.0	136.0		
148	6400	67263.0	174.0		
103	3890	56578.0	99.0		
98	4235	63417.0	166.0		
51	2180	62056.0	175.0		
144	6220	66864.0	181.0		
63	3070	65630.0	153.0		
88	3720	64614.0	179.0		
106	4560	64832.0	171.0		
152	6603	66791.0	174.0		
72	3100	62891.0	174.0		
